PH,NH,DH,MSH,PNH,RI,MPH,CT,NT,MSL,CL,CTR,NTR,MCT,MCL,Kurt,Skew,Area,APN,RPA,Aos,Aso,RSD,VPo,PW90,PW75,PW66,PW50,PW33,PW25,PW10,K,PTT,MWS,PNL,NI,AI,SI,P2ocd,AC,DC,mNPV,Ams,PDA,SFm,AFm,AFe,VFD,Ha,Hb,Hc,Hd,He,Hba,Hca,Hda,Hea,AGI,,
3.251,1.672,1.966,1.966,0.514,0.605,0.605,0.479,0.635,0.368,0.917,0.522,0.693,0.768,0.401,-0.904,0.669,71.246,42.625,0.598,32.718,38.528,0.85,32.718,16.525,26.971,32.127,40.664,49.791,54.409,64.412,0.389,-0.111,0.034,0.156,2.256,0.395,1531.531532,0.438,3.275,0.389,0.894,0.09,0.028,0.246,3.251,-3.249,0.137,0.427,-0.181,0.23,-0.619,0.034,-0.425,0.54,-1.451,0.079,0.407,,
3.711,2.267,2.113,1.834,0.611,0.569,0.494,0.21,0.337,0.108,1.036,0.204,0.327,0.515,0.105,-0.692,0.511,85.823,40.721,0.477,19.994,65.829,0.305,19.994,13.648,22.377,26.769,34.366,44.322,67.473,84.841,0.416,0.199,0.088,0.127,0.488,0.431,844.2211055,0.826,3.737,0.416,0.9,0.145,0.039,1.347,3.711,-3.634,0.27,0.891,-1.051,0.517,-0.335,0.296,-1.18,0.58,-0.376,0.332,-1.716,,
3.115,1.588,1.298,1.678,0.509,0.415,0.539,0.327,0.472,0.218,0.765,0.419,0.612,0.639,0.275,-1.048,0.49,63.52,37.213,0.588,25.933,37.587,0.699,25.933,15.026,24.495,29.145,36.795,44.872,48.899,57.503,0.421,0.094,0.052,0.145,1.653,0.585,1808.510638,0.438,3.236,0.421,0.885,0.104,0.034,0.598,3.115,-3.125,0.179,0.536,-0.495,0.248,-0.376,0.096,-0.923,0.485,-0.748,0.198,-0.859,,
3.225,0.535,1.742,1.742,0.167,0.54,0.54,0.429,0.42,0.336,0.823,0.521,0.511,0.784,0.409,-0.168,1.163,48.81,17.877,0.367,24.221,24.59,0.985,24.221,13.142,21.305,25.257,31.635,38.122,41.221,47.374,0.296,-0.092,0.038,-0.01,1.4,0.46,1695.652174,0.394,3.248,0.296,0.916,0.124,0.038,0.368,3.225,-3.223,0.865,0.529,-0.336,0.692,-1.092,0.321,-0.773,1.652,-2.53,1.064,-0.96,,
2.994,1.417,1.178,1.464,0.473,0.393,0.489,0.21,0.353,0.105,0.629,0.333,0.561,0.501,0.167,-1.016,0.271,59.128,27.036,0.457,20.415,38.713,0.528,20.415,12.869,20.84,24.679,30.852,37.112,40.114,46.185,0.47,0.22,0.071,0.144,1.28,0.607,786.3636364,0.42,3.025,0.47,0.865,0.115,0.038,1.095,2.994,-2.995,0.28,0.749,-0.819,0.424,-0.343,0,-1.094,0.566,-0.458,0,-1.202,,
2.979,0.302,0.448,1.499,0.1,0.159,0.503,0.285,0.471,0.175,0.766,0.363,0.609,0.582,0.218,-0.796,0.866,51.047,30.433,0.599,23.158,27.889,0.831,23.158,14.486,23.392,27.647,34.399,41.067,44.155,50.037,0.336,0.21,0.057,0.186,1.596,0.841,728.5714286,0.482,3.024,0.336,0.9,0.104,0.035,0.724,2.979,-2.996,0.762,0.552,-0.682,0.515,-0.355,0,-1.234,0.938,-0.651,0,-1.52,,
2.135,0.96,0.832,1.055,0.447,0.388,0.495,0.191,0.317,0.1,0.765,0.25,0.414,0.521,0.13,-0.53,0.747,59.866,20.617,0.345,18.181,41.685,0.441,18.181,11.94,19.408,23.045,28.981,35.198,38.307,45.305,0.391,0.198,0.056,0.126,0.708,0.612,838.3838384,0.574,2.171,0.391,0.847,0.092,0.043,0.931,2.135,-2.112,0.208,0.618,-0.781,0.431,-0.256,0.252,-1.271,0.703,-0.417,0.408,-1.965,,
3.562,1.188,1.187,1.744,0.333,0.333,0.489,0.187,0.328,0.094,0.598,0.312,0.548,0.504,0.157,-0.81,0.504,52.901,27.702,0.523,18.005,34.896,0.516,18.005,11.416,18.444,21.801,27.131,32.412,34.872,39.61,0.442,0.217,0.096,0.141,1.213,0.667,792.6267281,0.412,3.593,0.442,0.89,0.153,0.043,1.635,3.562,-3.564,1.058,1.133,-1.275,0.831,-0.666,0,-1.125,0.732,-0.587,0,-1.27,,
2.83,1.679,1.49,1.49,0.593,0.527,0.527,0.398,0.522,0.296,0.785,0.507,0.665,0.744,0.377,-1.103,0.562,59.22,32.587,0.55,23.401,35.818,0.654,23.401,14.322,23.469,28.042,35.788,44.572,49.413,61.087,0.377,-0.102,0.036,0.124,1.986,0.473,1647.058824,0.387,2.852,0.377,0.883,0.103,0.036,0.348,2.83,-2.83,0.104,0.572,-0.191,0.25,-0.754,0.326,-0.332,0.438,-1.319,0.571,-0.022,,
3.089,0.561,0.368,1.566,0.181,0.119,0.507,0.23,0.407,0.122,0.691,0.332,0.588,0.531,0.176,-1.019,0.738,50.854,30.987,0.611,21.574,29.28,0.737,21.574,14.084,22.75,26.894,33.479,39.993,43.017,48.79,0.368,0.276,0.067,0.177,1.43,0.881,597.826087,0.462,3.106,0.368,0.894,0.11,0.036,0.906,3.089,-3.081,0.675,0.602,-0.815,0.509,-0.259,0,-1.366,0.862,-0.443,0,-1.786,,
